x,Q2,y,SE,JB,DA,SIG,ESIG
0.125893,1258.93,0.505051,5.61317,43.2248,27.1917,29.3464,15.2416
0.125893,1995.26,0.800451,4.40194,29.4905,12.8996,14.5123,24.0767
0.125893,3162.28,1.26863,1.018,23.5854,3.63143,6.52679,27.3791
0.125893,5011.87,2.01064,0,0,0,0,0
0.125893,7943.28,3.18665,0,0,0,0,0
0.199526,1.25893,0.000318665,0,0,0,0,0
0.199526,1.99526,0.000505051,0,0,0,0,0
0.199526,3.16228,0.000800451,40.9797,49.8046,0,52.4958,50.9144
0.199526,5.01187,0.00126863,51.0543,52.1538,0,52.4388,51.4444
0.199526,7.94328,0.00201064,50.3501,50.7783,28.4775,51.1602,51.4613
0.199526,12.5893,0.00318665,58.1475,46.8058,30.0614,47.5275,47.7333
0.199526,19.9526,0.00505051,59.3699,42.6388,30.2017,43.5393,43.8773
0.199526,31.6228,0.00800451,56.617,37.967,27.1304,39.0935,39.1377
0.199526,50.1187,0.0126863,54.3785,32.2436,21.9554,32.9375,33.4468
0.199526,79.4328,0.0201064,47.9074,29.6129,16.9878,31.9722,30.7968
0.199526,125.893,0.0318665,37.038,27.1212,14.6795,27.8458,28.0754
0.199526,199.526,0.0505051,28.7949,26.0207,11.429,28.2671,29.2294
0.199526,316.228,0.0800451,17.6365,23.4786,8.91154,23.8095,23.6405
0.199526,501.187,0.126863,12.3508,22.0867,7.39373,22.215,32.4074
0.199526,794.328,0.201064,8.89646,23.0678,6.42732,25.9148,37.628
0.199526,1258.93,0.318665,7.14334,31.4868,21.032,42.8805,23.836
0.199526,1995.26,0.505051,6.2263,42.825,26.2676,28.9283,16.2892
0.199526,3162.28,0.800451,4.86972,29.3851,12.2612,14.3209,24.4799
0.199526,5011.87,1.26863,1.40404,23.4922,3.55605,6.52386,27.8612
0.199526,7943.28,2.01064,0,0,0,0,0
0.316228,1.25893,0.000201064,0,0,0,0,0
0.316228,1.99526,0.000318665,0,0,0,0,0
0.316228,3.16228,0.000505051,0,0,0,0,0
0.316228,5.01187,0.000800451,0,47.4771,0,48.5837,53.3743
0.316228,7.94328,0.00126863,54.3443,50.4167,0,51.8453,51.9157
0.316228,12.5893,0.00201064,56.0706,51.3594,0,51.2783,51.3267
0.316228,19.9526,0.00318665,56.2853,52.5513,25.617,52.8644,52.828
0.316228,31.6228,0.00505051,53.3802,46.8085,27.7093,47.7389,47.6054
0.316228,50.1187,0.00800451,56.7777,44.2275,25.2003,44.2791,43.9462
0.316228,79.4328,0.0126863,53.035,34.64,22.2054,35.0664,36.2367
0.316228,125.893,0.0201064,46.9926,32.8225,17.8729,33.5432,33.5968
0.316228,199.526,0.0318665,37.4774,29.6947,14.2765,31.4379,31.9958
0.316228,316.228,0.0505051,24.5088,28.3987,11.0565,28.9029,29.163
0.316228,501.187,0.0800451,17.3456,26.371,9.30278,26.4211,25.5287
0.316228,794.328,0.126863,11.5073,24.1304,6.18308,24.5017,33.0331
0.316228,1258.93,0.201064,10.2156,22.9148,6.81323,25.8931,37.6027
0.316228,1995.26,0.318665,7.80287,31.1648,20.5537,41.9054,23.2451
0.316228,3162.28,0.505051,8.56357,42.075,25.0994,28.252,18.0144
0.316228,5011.87,0.800451,4.31035,28.6071,11.6453,14.2715,24.3466
0.316228,7943.28,1.26863,1.25198,22.8769,3.81375,5.93749,27.7038
0.501187,1.25893,0.000126863,0,0,0,0,0
0.501187,1.99526,0.000201064,0,0,0,0,0
0.501187,3.16228,0.000318665,0,0,0,0,0
